runId,found,totalTimeMs,fitness,heuristic,nbWires,nbComparators,limit,SUBSUMPTION,FITNESS_RANDOM,VARIANCE_RANDOM
1,1,60,FitnessBad0,Greedy,8,19,300,false,true,false
1,1,152,FitnessBad0,Greedy,9,25,300,false,true,false
1,1,379,FitnessBad0,Greedy,11,35,300,false,true,false
1,1,202,FitnessBad0,Greedy,12,39,300,false,true,false
1,1,442,FitnessBad0,Greedy,13,45,300,false,true,false
1,1,630,FitnessBad0,Greedy,14,51,300,false,true,false
1,1,2935,FitnessBad0,Greedy,15,56,300,false,true,false
1,1,7867,FitnessBad0,Greedy,16,60,300,false,true,false
2,1,12,FitnessBad0,Greedy,8,19,300,false,true,false
2,1,28,FitnessBad0,Greedy,9,25,300,false,true,false
2,1,148,FitnessBad0,Greedy,11,35,300,false,true,false
2,1,197,FitnessBad0,Greedy,12,39,300,false,true,false
2,1,439,FitnessBad0,Greedy,13,45,300,false,true,false
2,1,898,FitnessBad0,Greedy,14,51,300,false,true,false
2,1,2154,FitnessBad0,Greedy,15,56,300,false,true,false
2,1,6678,FitnessBad0,Greedy,16,60,300,false,true,false
3,1,9,FitnessBad0,Greedy,8,19,300,false,true,false
3,1,54,FitnessBad0,Greedy,9,25,300,false,true,false
3,1,208,FitnessBad0,Greedy,11,35,300,false,true,false
3,1,249,FitnessBad0,Greedy,12,39,300,false,true,false
3,1,537,FitnessBad0,Greedy,13,45,300,false,true,false
3,1,889,FitnessBad0,Greedy,14,51,300,false,true,false
3,1,2085,FitnessBad0,Greedy,15,56,300,false,true,false
3,1,6471,FitnessBad0,Greedy,16,60,300,false,true,false
4,1,9,FitnessBad0,Greedy,8,19,300,false,true,false
4,1,37,FitnessBad0,Greedy,9,25,300,false,true,false
4,1,193,FitnessBad0,Greedy,11,35,300,false,true,false
4,1,242,FitnessBad0,Greedy,12,39,300,false,true,false
4,1,570,FitnessBad0,Greedy,13,45,300,false,true,false
4,1,1114,FitnessBad0,Greedy,14,51,300,false,true,false
4,1,2003,FitnessBad0,Greedy,15,56,300,false,true,false
4,1,6421,FitnessBad0,Greedy,16,60,300,false,true,false
5,1,9,FitnessBad0,Greedy,8,19,300,false,true,false
5,1,45,FitnessBad0,Greedy,9,25,300,false,true,false
5,1,207,FitnessBad0,Greedy,11,35,300,false,true,false
