runId,found,totalTimeMs,fitness,heuristic,nbWires,nbComparators,limit,SUBSUMPTION,FITNESS_RANDOM,VARIANCE_RANDOM
17,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
17,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
17,1,17,FitnessArticleFormula,Greedy,5,9,300,false,true,false
17,1,14,FitnessArticleFormula,Greedy,6,12,300,false,true,false
17,1,405,FitnessArticleFormula,Greedy,7,16,300,false,true,false
18,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
18,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
18,1,16,FitnessArticleFormula,Greedy,5,9,300,false,true,false
18,1,21,FitnessArticleFormula,Greedy,6,12,300,false,true,false
18,1,407,FitnessArticleFormula,Greedy,7,16,300,false,true,false
19,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
19,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
19,1,31,FitnessArticleFormula,Greedy,5,9,300,false,true,false
19,1,17,FitnessArticleFormula,Greedy,6,12,300,false,true,false
19,1,377,FitnessArticleFormula,Greedy,7,16,300,false,true,false
20,1,4,FitnessArticleFormula,Greedy,3,3,300,false,true,false
20,1,5,FitnessArticleFormula,Greedy,4,5,300,false,true,false
20,1,11,FitnessArticleFormula,Greedy,5,9,300,false,true,false
20,1,18,FitnessArticleFormula,Greedy,6,12,300,false,true,false
20,1,384,FitnessArticleFormula,Greedy,7,16,300,false,true,false
21,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
21,1,7,FitnessArticleFormula,Greedy,4,5,300,false,true,false
21,1,9,FitnessArticleFormula,Greedy,5,9,300,false,true,false
21,1,18,FitnessArticleFormula,Greedy,6,12,300,false,true,false
21,1,386,FitnessArticleFormula,Greedy,7,16,300,false,true,false
22,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
22,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
22,1,16,FitnessArticleFormula,Greedy,5,9,300,false,true,false
22,1,17,FitnessArticleFormula,Greedy,6,12,300,false,true,false
22,1,425,FitnessArticleFormula,Greedy,7,16,300,false,true,false
23,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
23,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
23,1,0,FitnessArticleFormula,Greedy,5,9,300,false,true,false
23,1,29,FitnessArticleFormula,Greedy,6,12,300,false,true,false
23,1,397,FitnessArticleFormula,Greedy,7,16,300,false,true,false
24,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
24,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
24,1,17,FitnessArticleFormula,Greedy,5,9,300,false,true,false
24,1,13,FitnessArticleFormula,Greedy,6,12,300,false,true,false
24,1,404,FitnessArticleFormula,Greedy,7,16,300,false,true,false
25,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
25,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
25,1,10,FitnessArticleFormula,Greedy,5,9,300,false,true,false
25,1,31,FitnessArticleFormula,Greedy,6,12,300,false,true,false
25,1,417,FitnessArticleFormula,Greedy,7,16,300,false,true,false
26,1,1,FitnessArticleFormula,Greedy,3,3,300,false,true,false
26,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
26,1,5,FitnessArticleFormula,Greedy,5,9,300,false,true,false
26,1,14,FitnessArticleFormula,Greedy,6,12,300,false,true,false
26,1,397,FitnessArticleFormula,Greedy,7,16,300,false,true,false
27,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
27,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
27,1,0,FitnessArticleFormula,Greedy,5,9,300,false,true,false
27,1,26,FitnessArticleFormula,Greedy,6,12,300,false,true,false
27,1,414,FitnessArticleFormula,Greedy,7,16,300,false,true,false
28,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
28,1,13,FitnessArticleFormula,Greedy,4,5,300,false,true,false
28,1,0,FitnessArticleFormula,Greedy,5,9,300,false,true,false
28,1,25,FitnessArticleFormula,Greedy,6,12,300,false,true,false
28,1,391,FitnessArticleFormula,Greedy,7,16,300,false,true,false
29,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
29,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
29,1,12,FitnessArticleFormula,Greedy,5,9,300,false,true,false
29,1,18,FitnessArticleFormula,Greedy,6,12,300,false,true,false
29,1,422,FitnessArticleFormula,Greedy,7,16,300,false,true,false
30,1,0,FitnessArticleFormula,Greedy,3,3,300,false,true,false
30,1,0,FitnessArticleFormula,Greedy,4,5,300,false,true,false
30,1,10,FitnessArticleFormula,Greedy,5,9,300,false,true,false
30,1,17,FitnessArticleFormula,Greedy,6,12,300,false,true,false
30,1,410,FitnessArticleFormula,Greedy,7,16,300,false,true,false
1,1,0,FitnessArticleFormula,Greedy,3,3,200,false,true,false
