runId,found,totalTimeMs,fitness,heuristic,nbWires,nbComparators,SUBSUMPTION,FITNESS_RANDOM,VARIANCE_RANDOM
12,1,50582,FitnessBad0,Greedy,14,51,true,false,false
12,1,93443,FitnessBad0,Greedy,15,56,true,false,false
12,1,105269,FitnessBad0,Greedy,16,60,true,false,false
13,1,7,FitnessBad0,Greedy,8,19,true,false,false
13,1,191,FitnessBad0,Greedy,9,25,true,false,false
13,0,2335,FitnessBad0,Greedy,10,29,true,false,false
13,1,10225,FitnessBad0,Greedy,11,35,true,false,false
13,1,10719,FitnessBad0,Greedy,12,39,true,false,false
13,1,33266,FitnessBad0,Greedy,13,45,true,false,false
13,1,50542,FitnessBad0,Greedy,14,51,true,false,false
13,1,92704,FitnessBad0,Greedy,15,56,true,false,false
13,1,105507,FitnessBad0,Greedy,16,60,true,false,false
14,1,5,FitnessBad0,Greedy,8,19,true,false,false
14,1,190,FitnessBad0,Greedy,9,25,true,false,false
14,0,2293,FitnessBad0,Greedy,10,29,true,false,false
14,1,10121,FitnessBad0,Greedy,11,35,true,false,false
14,1,10630,FitnessBad0,Greedy,12,39,true,false,false
14,1,33351,FitnessBad0,Greedy,13,45,true,false,false
14,1,50543,FitnessBad0,Greedy,14,51,true,false,false
14,1,92975,FitnessBad0,Greedy,15,56,true,false,false
14,1,105361,FitnessBad0,Greedy,16,60,true,false,false
15,1,6,FitnessBad0,Greedy,8,19,true,false,false
15,1,218,FitnessBad0,Greedy,9,25,true,false,false
15,0,2526,FitnessBad0,Greedy,10,29,true,false,false
15,1,9811,FitnessBad0,Greedy,11,35,true,false,false
15,1,10796,FitnessBad0,Greedy,12,39,true,false,false
15,1,33423,FitnessBad0,Greedy,13,45,true,false,false
15,1,51148,FitnessBad0,Greedy,14,51,true,false,false
15,1,93297,FitnessBad0,Greedy,15,56,true,false,false
15,1,105300,FitnessBad0,Greedy,16,60,true,false,false
16,1,5,FitnessBad0,Greedy,8,19,true,false,false
16,1,184,FitnessBad0,Greedy,9,25,true,false,false
16,0,2331,FitnessBad0,Greedy,10,29,true,false,false
16,1,10132,FitnessBad0,Greedy,11,35,true,false,false
16,1,10841,FitnessBad0,Greedy,12,39,true,false,false
16,1,33689,FitnessBad0,Greedy,13,45,true,false,false
16,1,51657,FitnessBad0,Greedy,14,51,true,false,false
16,1,93576,FitnessBad0,Greedy,15,56,true,false,false
16,1,105407,FitnessBad0,Greedy,16,60,true,false,false
17,1,8,FitnessBad0,Greedy,8,19,true,false,false
17,1,417,FitnessBad0,Greedy,9,25,true,false,false
17,0,2273,FitnessBad0,Greedy,10,29,true,false,false
17,1,9905,FitnessBad0,Greedy,11,35,true,false,false
17,1,10664,FitnessBad0,Greedy,12,39,true,false,false
