runId,found,totalTimeMs,fitness,heuristic,nbWires,nbComparators,limit,SUBSUMPTION,FITNESS_RANDOM,VARIANCE_RANDOM
1,0,574591,FitnessArticleFormula,Greedy,17,71,600,FALSE,TRUE,FALSE
2,0,603799,FitnessArticleFormula,Greedy,17,71,600,FALSE,TRUE,FALSE
1,0,608885,FitnessArticleFormula,Greedy,17,71,600,TRUE,TRUE,FALSE
2,0,616692,FitnessArticleFormula,Greedy,17,71,600,TRUE,TRUE,FALSE
1,0,38386,FitnessArticleFormula,Greedy,17,71,600,FALSE,TRUE,TRUE
2,0,29832,FitnessArticleFormula,Greedy,17,71,600,FALSE,TRUE,TRUE
1,0,36405,FitnessArticleFormula,Greedy,17,71,600,TRUE,TRUE,TRUE
2,0,39780,FitnessArticleFormula,Greedy,17,71,600,TRUE,TRUE,TRUE
1,0,35631,FitnessBad0,Greedy,17,71,600,FALSE,TRUE,FALSE
2,0,38974,FitnessBad0,Greedy,17,71,600,FALSE,TRUE,FALSE
1,0,44807,FitnessBad0,Greedy,17,71,600,TRUE,TRUE,FALSE
2,0,38465,FitnessBad0,Greedy,17,71,600,TRUE,TRUE,FALSE
1,0,37207,FitnessBad0,Greedy,17,71,600,FALSE,TRUE,TRUE
2,0,38264,FitnessBad0,Greedy,17,71,600,FALSE,TRUE,TRUE
1,0,35735,FitnessBad0,Greedy,17,71,600,TRUE,TRUE,TRUE
2,0,32629,FitnessBad0,Greedy,17,71,600,TRUE,TRUE,TRUE
1,0,37761,FitnessBad1,Greedy,17,71,600,FALSE,TRUE,FALSE
2,0,36279,FitnessBad1,Greedy,17,71,600,FALSE,TRUE,FALSE
1,0,37564,FitnessBad1,Greedy,17,71,600,TRUE,TRUE,FALSE
2,0,61253,FitnessBad1,Greedy,17,71,600,TRUE,TRUE,FALSE
1,0,48810,FitnessBad1,Greedy,17,71,600,FALSE,TRUE,TRUE
2,0,42140,FitnessBad1,Greedy,17,71,600,FALSE,TRUE,TRUE
1,0,56247,FitnessBad1,Greedy,17,71,600,TRUE,TRUE,TRUE
2,0,56609,FitnessBad1,Greedy,17,71,600,TRUE,TRUE,TRUE
1,0,254220,FitnessOutputSize,Greedy,17,71,600,FALSE,TRUE,FALSE
2,0,268323,FitnessOutputSize,Greedy,17,71,600,FALSE,TRUE,FALSE
1,0,240255,FitnessOutputSize,Greedy,17,71,600,TRUE,TRUE,FALSE
2,0,226423,FitnessOutputSize,Greedy,17,71,600,TRUE,TRUE,FALSE
1,0,36641,FitnessOutputSize,Greedy,17,71,600,FALSE,TRUE,TRUE
2,0,40459,FitnessOutputSize,Greedy,17,71,600,FALSE,TRUE,TRUE
1,0,35425,FitnessOutputSize,Greedy,17,71,600,TRUE,TRUE,TRUE
2,0,36607,FitnessOutputSize,Greedy,17,71,600,TRUE,TRUE,TRUE
1,0,25100,FitnessBadPosCount,Greedy,17,71,600,FALSE,TRUE,FALSE
2,0,26841,FitnessBadPosCount,Greedy,17,71,600,FALSE,TRUE,FALSE
1,0,28084,FitnessBadPosCount,Greedy,17,71,600,TRUE,TRUE,FALSE
2,0,30030,FitnessBadPosCount,Greedy,17,71,600,TRUE,TRUE,FALSE
1,0,27940,FitnessBadPosCount,Greedy,17,71,600,FALSE,TRUE,TRUE
2,0,28789,FitnessBadPosCount,Greedy,17,71,600,FALSE,TRUE,TRUE
1,0,28364,FitnessBadPosCount,Greedy,17,71,600,TRUE,TRUE,TRUE
2,0,26642,FitnessBadPosCount,Greedy,17,71,600,TRUE,TRUE,TRUE
1,0,25759,FitnessMisplacedBitsAverage,Greedy,17,71,600,FALSE,TRUE,FALSE
2,0,33112,FitnessMisplacedBitsAverage,Greedy,17,71,600,FALSE,TRUE,FALSE
1,0,24754,FitnessMisplacedBitsAverage,Greedy,17,71,600,TRUE,TRUE,FALSE
2,0,35873,FitnessMisplacedBitsAverage,Greedy,17,71,600,TRUE,TRUE,FALSE
1,0,46665,FitnessMisplacedBitsAverage,Greedy,17,71,600,FALSE,TRUE,TRUE
